isin,name,original_ticker,working_ticker,current_price,currency,exchange,days_available,long_name
IE00BZCQB185,iShares MSCI India UCITS ETF USD (Acc),QDV5,QDV5.DE,8.319,EUR,GER,5,iShares MSCI India UCITS ETF USD Acc
LU0274208692,Xtrackers MSCI World Swap UCITS ETF 1C,DBXW,DBXW.DE,114.735,EUR,GER,5,Xtrackers MSCI World Swap UCITS ETF
IE00B441G979,iShares MSCI World EUR Hedged UCITS ETF (Acc),IBCH,IBCH.DE,103.54,EUR,GER,5,iShares MSCI World EUR Hedged UCITS ETF (Acc)
IE0008471009,iShares Core EURO STOXX 50 UCITS ETF EUR (Dist),EUE,EUE.L,4836.0,GBp,LSE,5,iShares Core EURO STOXX 50 UCITS ETF EUR (Dist)
IE00BFNM3P36,iShares MSCI EM IMI Screened UCITS ETF USD (Acc),AYEM,AYEM.DE,7.023,EUR,GER,5,iShares MSCI EM IMI Screened UCITS ETF USD (Acc)
IE00B810Q511,Vanguard FTSE 100 UCITS ETF (GBP) Distributing,VUKE,VUKE.L,40.0,GBP,LSE,5,Vanguard FTSE 100 UCITS ETF
IE00BH4GPZ28,SPDR S&P 500 Leaders UCITS ETF USD Unhedged (Acc),SPPY,SPPY.L,35.0275,GBP,LSE,5,SPDR S&P 500 Leaders UCITS ETF
IE00BGHQ0G80,Xtrackers MSCI AC World Screened UCITS ETF 1C,XMAW,XMAW.L,3657.5,GBp,LSE,5,Xtrackers MSCI AC World Screened UCITS ETF 1C
IE00BK5BQV03,Vanguard FTSE Developed World UCITS ETF Acc,VGVF,VGVF.DE,109.8,EUR,GER,5,Vanguard FTSE Developed World UCITS ETF USD Accumu
LU1781541252,Amundi Core MSCI Japan UCITS ETF Acc,LCJP,LCJP.L,15.89,GBP,LSE,5,Amundi Core MSCI Japan UCITS ETF Acc
IE00BK1PV551,Xtrackers MSCI World UCITS ETF 1D,XDWL,XDWL.L,114.63,USD,LSE,5,Xtrackers MSCI World UCITS ETF 1D
IE00BHZPJ569,iShares MSCI World ESG Enhanced CTB UCITS ETF USD ,EDMW,EDMW.DE,9.08,EUR,GER,5,iShares MSCI World ESG Enhanced CTB UCITS ETF USD 
IE00BFNM3D14,iShares MSCI Europe Screened UCITS ETF EUR (Acc),SLMC,SLMC.DE,9.281,EUR,GER,5,iShares MSCI Europe Screened UCITS ETF EUR (Acc)
LU0274210672,Xtrackers MSCI USA Swap UCITS ETF 1C,XMUS,XMUS.L,14704.5,GBp,LSE,5,Xtrackers MSCI USA Swap UCITS ETF 1C
