isin;name;url;description_en;description_cs;ter;ter_numeric;fund_size;fund_size_numeric;fund_size_currency;fund_currency;fund_domicile;fund_provider;inception_date;distribution_policy;distribution_frequency;replication;legal_structure;index_name;investment_focus;sustainability;category;is_leveraged;region;total_holdings;return_1y;return_3y;return_5y;return_ytd;volatility_1y;volatility_3y;volatility_5y;return_per_risk_1y;return_per_risk_3y;return_per_risk_5y;max_drawdown_1y;max_drawdown_3y;max_drawdown_5y;max_drawdown_inception;beta;correlation;tracking_error;information_ratio;primary_exchange;primary_ticker;total_exchanges;current_dividend_yield;current_dividend_yield_numeric;dividends_12m;dividends_12m_numeric;dividends_12m_currency;dividend_extraction_method;scraping_date;scraping_status;retry_count;holding_1_name;holding_1_weight;holding_2_name;holding_2_weight;holding_3_name;holding_3_weight;holding_4_name;holding_4_weight;holding_5_name;holding_5_weight;holding_6_name;holding_6_weight;holding_7_name;holding_7_weight;holding_8_name;holding_8_weight;holding_9_name;holding_9_weight;holding_10_name;holding_10_weight;country_1_name;country_1_weight;country_2_name;country_2_weight;country_3_name;country_3_weight;country_4_name;country_4_weight;country_5_name;country_5_weight;sector_1_name;sector_1_weight;sector_2_name;sector_2_weight;sector_3_name;sector_3_weight;sector_4_name;sector_4_weight;sector_5_name;sector_5_weight;exchange_1_name;exchange_1_currency;exchange_1_ticker;exchange_1_bloomberg;exchange_1_reuters;exchange_1_market_maker;exchange_2_name;exchange_2_currency;exchange_2_ticker;exchange_2_bloomberg;exchange_2_reuters;exchange_2_market_maker;exchange_3_name;exchange_3_currency;exchange_3_ticker;exchange_3_bloomberg;exchange_3_reuters;exchange_3_market_maker;exchange_4_name;exchange_4_currency;exchange_4_ticker;exchange_4_bloomberg;exchange_4_reuters;exchange_4_market_maker;exchange_5_name;exchange_5_currency;exchange_5_ticker;exchange_5_bloomberg;exchange_5_reuters;exchange_5_market_maker;rating;rating_score;rating_ter_score;rating_size_score;rating_track_record_score;rating_provider_score;rating_performance_score
IE000ZC4C5Q1;ETF Screener;https://www.justetf.com/en/etf-profile.html?isin=IE000ZC4C5Q1;;;;;;;;;;;;;;;;;;;Ostatní;False;Ostatní;;;;;;;;;;;;;;;;;;;;Extracted (method 2);AI;4;;;;;;;2025-09-18T13:03:29.197229;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;XETRA;EUR;;;;;NASDAQ;EUR;;;;;Euronext Paris;EUR;;;;;;;;;;;;;;;;;
IE00BYTH5719;ETF Screener;https://www.justetf.com/en/etf-profile.html?isin=IE00BYTH5719;;;;;;;;;;;;;;;;;;;Ostatní;False;Ostatní;;;;;;;;;;;;;;;;;;;;Extracted (method 2);AI;4;;;;;;;2025-09-18T13:03:34.616411;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;XETRA;EUR;;;;;NASDAQ;EUR;;;;;Euronext Paris;EUR;;;;;;;;;;;;;;;;;
LU1645385912;ETF Screener;https://www.justetf.com/en/etf-profile.html?isin=LU1645385912;;;;;;;;;;;;;;;;;;;Ostatní;False;Ostatní;;;;;;;;;;;;;;;;;;;;Extracted (method 2);AI;4;;;;;;;2025-09-18T13:03:38.187180;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;XETRA;EUR;;;;;NASDAQ;EUR;;;;;Euronext Paris;EUR;;;;;;;;;;;;;;;;;
LU1481201298;ETF Screener;https://www.justetf.com/en/etf-profile.html?isin=LU1481201298;;;;;;;;;;;;;;;;;;;Ostatní;False;Ostatní;;;;;;;;;;;;;;;;;;;;Extracted (method 2);AI;4;;;;;;;2025-09-18T13:03:41.959367;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;XETRA;EUR;;;;;NASDAQ;EUR;;;;;Euronext Paris;EUR;;;;;;;;;;;;;;;;;
LU1981860585;ETF Screener;https://www.justetf.com/en/etf-profile.html?isin=LU1981860585;;;;;;;;;;;;;;;;;;;Ostatní;False;Ostatní;;;;;;;;;;;;;;;;;;;;Extracted (method 2);AI;4;;;;;;;2025-09-18T13:03:46.466549;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;XETRA;EUR;;;;;NASDAQ;EUR;;;;;Euronext Paris;EUR;;;;;;;;;;;;;;;;;
LU1481201371;ETF Screener;https://www.justetf.com/en/etf-profile.html?isin=LU1481201371;;;;;;;;;;;;;;;;;;;Ostatní;False;Ostatní;;;;;;;;;;;;;;;;;;;;Extracted (method 2);AI;4;;;;;;;2025-09-18T13:03:49.898388;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;XETRA;EUR;;;;;NASDAQ;EUR;;;;;Euronext Paris;EUR;;;;;;;;;;;;;;;;;
LU1655103643;ETF Screener;https://www.justetf.com/en/etf-profile.html?isin=LU1655103643;;;;;;;;;;;;;;;;;;;Ostatní;False;Ostatní;;;;;;;;;;;;;;;;;;;;Extracted (method 2);AI;4;;;;;;;2025-09-18T13:03:52.784385;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;XETRA;EUR;;;;;NASDAQ;EUR;;;;;Euronext Paris;EUR;;;;;;;;;;;;;;;;;
LU2533813296;ETF Screener;https://www.justetf.com/en/etf-profile.html?isin=LU2533813296;;;;;;;;;;;;;;;;;;;Ostatní;False;Ostatní;;;;;;;;;;;;;;;;;;;;Extracted (method 2);AI;4;;;;;;;2025-09-18T13:03:59.591254;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;XETRA;EUR;;;;;NASDAQ;EUR;;;;;Euronext Paris;EUR;;;;;;;;;;;;;;;;;
IE0009WWNY77;ETF Screener;https://www.justetf.com/en/etf-profile.html?isin=IE0009WWNY77;;;;;;;;;;;;;;;;;;;Ostatní;False;Ostatní;;;;;;;;;;;;;;;;;;;;Extracted (method 2);AI;4;;;;;;;2025-09-18T13:04:03.766382;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;XETRA;EUR;;;;;NASDAQ;EUR;;;;;Euronext Paris;EUR;;;;;;;;;;;;;;;;;
XS3003323741;ETF Screener;https://www.justetf.com/en/etf-profile.html?isin=XS3003323741;;;;;;;;;;;;;;;;;;;Ostatní;False;Ostatní;;;;;;;;;;;;;;;;;;;;Extracted (method 2);AI;4;;;;;;;2025-09-18T13:04:06.701323;success;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;London Stock Exchange;GBP;;;;;XETRA;EUR;;;;;NASDAQ;EUR;;;;;Euronext Paris;EUR;;;;;;;;;;;;;;;;;
